title,stars_rating,run_time,release_date,mpaa_rating,genre,director,cast
Charlie St. Cloud,1.5,105.0,2010,"Profanity, Sexual Content",DRAMA,Burr Steers,"Zac Efron, Charlie Tahan, Amanda Crew, Donal Logue, Kim Basinger, Ray Liotta"
Countdown to Zero,2.5,90.0,2010,,DOCUMENTARY,Lucy Walker,"Valerie Plame Wilson, Tony Blair, Jimmy Carter, Mikhail Gorbachev, Robert McNamara, Pervez Musharraf, F.W. De Klerk"
Dinner for Schmucks,2.5,115.0,2010,"Profanity, Sexual Content",COMEDY,Jay Roach,"Steve Carell, Paul Rudd, Stephanie Szostak, Jermaine Clement, Zach Galifianakis, Lucy Punch, Bruce Greenwood, David Walliams, Ron Livingston"
"Kids Are All Right, The",3.5,104.0,2010,"Sexual Content, Nudity, Profanity",DRAMA/COMEDY,Lisa Cholodenko,"Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska, Josh Hutcherson"
From Here to Eternity,3.0,117.0,,,Drama,Fred Zinnemann,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed, Frank Sinatra, Philip Ober, Ernest Borgnine, Jack Warden"
My Neighbor Totoro,3.5,86.0,1993,,Animated,Hayao Miyazaki,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto, Tanie Kitabayashi"
Sicario: Day of the Soldado,3.0,122.0,2018,"Violence, Profanity",Thriller,Stefano Sollima,"Benicio Del Toro, Josh Brolin, Isabela Moner, Jeffrey Donovan, Catherine Keener, Manuel Garcia-Rulfo, Matthew Modine, Shea Whigham, Elijah Rodriguez"
Izzy Gets the F*ck Across Town,1.5,88.0,2018,"Profanity, Sexual Content",Comedy/Drama,Christian Papierniak,"Mackenzie Davis, Carrie Coon, Alex Russell, Haley Joel Osment, Alia Shawkat, Annie Potts, Sarah Goldberg, Lauren Miller, Keith Stanfield"
Beach House,2.5,88.0,2018,"Sexual Content, Profanity, Violence",Thriller,Jason Saltiel,"Willa Fitzgerald, Murray Bartlett, Orlagh Cassidy, Tom Hammond"
Jurassic World: Fallen Kingdom,2.0,128.0,2018,"Dino Carnage, Scenes of Peril, Violence, Profanity",Action/Adventure,J.A. Bayona,"Chris Pratt, BD Wong, Ted Levine, James Cromwell, Daniella Pineda, Justice Smith, Rafe Spall, Jeff Goldblum, Bryce Dallas Howard, Isabella Sermon"
Dark Passage,3.0,106.0,,Violence,Thriller,Delmer Daves,"Humphrey Bogart, Lauren Bacall, Agnes Moorehead, Clifton Young, Houseley Stevenson"
Tag,2.0,98.0,2018,"Profanity, Sexual Content",Comedy,Jeff Tomsic,"Ed Helms, Jon Hamm, Jake Johnson, Hannibal Buress, Isla Fisher, Jeremy Renner, Rashida Jones, Leslie Bibb"
Incredibles 2,3.0,112.0,2018,,Animated,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner, Catherine Keener, Bob Odenkirk, Samuel L. Jackson"
"Valley, The",3.0,95.0,2018,"Profanity, Adult Themes, Drugs",Drama,Salia Kariat,"Alyy Khan, Suchitra Pillai, Agneeta Thacker, Salma Khan, Jake T. Austin"
"Kite Runner, The",3.5,122.0,2007,"Violence, Profanity",DRAMA,Marc Forster,"Khalid Abdalla, Homayon Ershadi, Zekeria Ebrahimi, Ahmad Khan Mahmidzada, Shaun Toub, Nabi Tahna, Ali Dinesh, Atossa Leoni"
Manon des Sources,4.0,113.0,1987,"Nudity, Mature Themes",DRAMA,Claude Berri,"Yves Montand, Daniel Auteuil, Elisabeth Depardieu, Margarita Lozano, Emmanuelle Béart, Hippolyte Girardot"
Just Friends,1.0,94.0,2005,"Sexual Situations, Profanity",ROMANTIC COMEDY,Roger Kumble,"Ryan Reynolds, Amy Smart, Chris Klein, Anna Farris"
Guess Who,2.5,105.0,2005,"Profanity, Sexual Situations",COMEDY,Kevin Rodney Sullivan,"Bernie Mac, Ashton Kutcher, Zoe Saldana, Judith Scott, Kellee Stewart"
Blade,2.5,120.0,1998,"Violence, Profanity, Sexual Situations",ACTION/HORROR,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'bushe Wright, Donal Logue, Udo Kier, Traci Lords"
One Fine Day,2.5,108.0,1996,Profanity,ROMANCE/COMEDY,Michael Hoffman,"Michelle Pfeiffer, George Clooney, Mae Whitman, Alex D. Linz, Charles Durning, Ellen Greene"
Forgotten Silver,3.5,52.0,,Nudity,COMEDY,Peter Jackson and Costa Botes,"Jeffrey Thomas (narrator), Peter Jackson, Costa Botes, Sam Neill, Leonard Maltin, Harvey Weinstein, John O'Shea, Linday Shelton"
"Lust, Caution",3.5,157.0,2007,"Sexual Situations, Nudity, Violence",THRILLER/DRAMA,Ang Lee,"Tang Wei, Tony Leung Chiu Wai, Joan Chen, Wang Lee-Hom"
Four Rooms,2.0,86.0,1995,"Profanity, Nudity, Violence",COMEDY/DRAMA,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Tim Roth, Paul Calderon, Quentin Tarantino, Marisa Tomei, Tamlyn Tomita, Antonio Banderas, David Proval, Jennifer Beals, Amanda De Cadenet, Alicia Witt, Lili Taylor, Sammi Davis, Ione Skye, Madonna, Valeria Golino, Bruce Willis"
Bewitched,1.0,101.0,2005,"Profanity, Sexual Situations, Nudity",COMEDY,Nora Ephron,"Nicole Kidman, Will Ferrell, Shirley MacLaine, Michael Caine, Jason Schwartzman, Kristin Chenoweth"
"Electrical Life of Louis Wain, The",2.5,111.0,2021,"Profanity, Mental Illness",Drama,Will Sharpe,"Benedict Cumberbatch, Claire Foy, Andrea Riseborough, Toby Jones"
Dune: Part One,3.5,155.0,2021,Violence,Science Fiction,Denis Villeneuve,"Timothee Chalamet, Rebecca Ferguson, Oscar Isaac, Zendaya, Jason Momoa, Josh Brolin, Javier Bardem, Stellan Skarsgård, Dave Bautista, Charlotte Rampling"
"Last Duel, The",3.0,152.0,2021,"Violence, Sexual Content",Drama/Adventure,Ridley Scott,"Matt Damon, Adam Driver, Jodie Comer, Ben Affleck, Harriet Walter, Alex Lawther"
Halloween Kills,3.0,105.0,2021,"Violence, Gore, Profanity",Horror,David Gordon Green,"Jamie Lee Curtis, Kyle Richards, Charles Cyphers, Anthony Michael Hall, Robert Longstreet, Dylan Arnold, Will Patton, James Jude Courtney, Andi Matichak, Judy Greer, Nancy Stephens"
Lamb,3.0,106.0,2021,"Violence, Sexual Content, Nudity",Drama/Horror,Valdimar Johannsson,"Noomi Rapace, Hilmir Snaer Guonason, Bjorn Hlynur Haraldsson"
No Time to Die,3.5,163.0,2021,"Violence, Profanity, Sexual Content",Action/Thriller,Cary Joji Fukunaga,"Daniel Craig, Jeffrey Wright, Lea Seydoux, Rami Malek, Ralph Fiennes, Naomie Harris, Lashana Lynch, Ben Whishaw, Christoph Waltz, Ana de Armas, Billy Magnussen, Rory Kinnear, David Dencik"
"Many Saints of Newark, The",3.0,120.0,2021,"Violence, Profanity, Sexual Content, Nudity",Drama/Thriller,Alan Taylor,"Alessandro Nivola, John Magaro, Billy Magnussen, Michael Gandolfini, Giuseppina Moltisanti, Ray Liotta, Corey Stoll, Jon Bernthal, Vera Farmiga, Leslie Odom Jr., Michael Imperioli"
Venom: Let There Be Carnage,2.0,90.0,2021,"Violence, Profanity",Action/Comedy,Andy Serkis,"Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris, Reid Scott, Stephen Graham"
"Addams Family 2, The",2.0,93.0,2021,,Animated,"Greg Tiernan, Conrad Vernon","Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Nick Kroll, Javon Walton, Snoop Dogg, Bette Midler, Bill Hader, Wallace Shawn"
Dear Evan Hansen,2.0,132.0,2021,"Profanity, Suicide, Mental Illness",Musical/Drama,Stephen Chbosky,"Ben Platt, Julianne Moore, Kaitlyn Dever, Amy Adams, Danny Pino, Amandla Stenberg, Colton Ryan"
Jimmy Hollywood,2.0,110.0,1994,"Profanity, Violence, Sexual Situations",COMEDY/DRAMA,Barry Levinson,"Joe Pesci, Christian Slater, Victoria Abril"
Mulan,3.5,85.0,1998,Nothing Objectionable,ANIMATED,"Tony Bancroft, Barry Cook","(voices) Ming-Na Wen, Eddie Murphy, B.D. Wong, Miguel Ferrer, Harvey Fierstein, Pat"
"Advocate, The",3.0,110.0,,"Sexual Situations, Nudity, Violence",COMEDY/DRAMA,Leslie Magahey,"Colin Firth, Ian Holm, Nicol Williamson, Amina Annabi, Donald Pleasance, Jim Carter, Lysette Anthony"
Martian Child,2.0,108.0,2007,Nothing Objectionable,DRAMA,Menno Meyjes,"John Cusack, Bobby Coleman, Amanda Peet, Sophie Okonedo, Joan Cusack, Oliver Platt"
"Wicker Man, The",3.5,100.0,,"Nudity, Sexual Situations, Violence",HORROR,Robin Hardy,"Edward Woodward, Christopher Lee, Diane Cilento, Britt Ekland, Ingrid Pitt"
Austin Powers: International Man of Mystery,2.5,89.0,1997,"Sexual Situations, Profanity",COMEDY,Jay Roach,"Mike Myers, Elizabeth Hurley, Robert Wagner, Michael York, Fabiana Udenio, Mimi Rogers"
"Women, The",2.5,110.0,2008,"Profanity, Sexual Situations",COMEDY/DRAMA,Diane English,"Meg Ryan, Annette Bening, Eva Mendes, Debra Messing, Jada Pinkett Smith, Bette Midler, Candice Bergen"
Fly Away Home,3.0,107.0,1996,,DRAMA,Carroll Ballard," Anna Paquin"" href=""https://www.reelviews.net/search/actor/anna-paquin"", Jeff Daniels, Dana Delany, Terry Kinney, Holter Graham, Jeremy Ratchford"
Priest,3.5,100.0,1995,"Sexual Situations, Nudity",DRAMA,Antonia Bird,"Linus Roache, Tom Wilkinson, Cathy Tyson, Robert Carlyle, Christine Tremarco, Robert Pugh, Lesley Sharp, James Ellis"
Charlie's Angels,3.0,98.0,2000,"Profanity, Violence, Sexual Situations",ACTION/COMEDY,McG,"Cameron Diaz, Sam Rockwell, Luke Wilson, Kelly Lynch, Crispin Glover, Tim Curry, Bill Murray, Lucy Liu, Drew Barrymore, John Forsythe"
Insidious,3.0,102.0,2011,"Violence, Profanity",HORROR,James Wan,"Patrick Wilson, Rose Byrne, Barbara Hershey, Ty Simpkins, Andrew Astor, Lin Shaye, Leigh Whannell, Angus Sampson"
Source Code,3.0,93.0,2011,"Violence, Profanity",SCIENCE FICTION/THRILLER,Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright, Michael Arden"
Sucker Punch,1.5,109.0,2011,"Violence, Profanity,Sexual Content",ACTION/THRILLER,Zack Snyder,"Emily Browning, Abbie Cornish, Jena Malone, Vanessa Hudgens, Jamie Chung, Carla Gugino, Oscar Isaac, Jon Hamm, Scott Glenn"
Paul,3.0,109.0,2011,"Profanity, Sexual Content, Violence, Drugs",SCIENCE FICTION/COMEDY,Greg Mottola,"Simon Pegg, David Koechner, John Carroll Lynch, Sigourney Weaver, Kristin Wiig, Bill Hader, Jason Bateman, Seth Rogan (voice), Nick Frost, Joe Lo Truglio"
Limitless,2.5,105.0,2011,"Violence, Profanity,Sexual Content",THRILLER,Neil Burger,"Bradley Cooper, Abbie Cornish, Robert DeNiro, Anna Friel, Johnny Whitworth, Andrew Howard"
"Lincoln Lawyer, The",3.0,115.0,2011,"Violence, Profanity, Sexual Content",THRILLER,Brad Furman,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy, Josh Lucas, John Leguizamo, Michael Pena, Bob Gunton, Frances Fisher"
Jane Eyre,3.0,115.0,2011,"Sexual Content, Violence",DRAMA,Cary Fukunaga,"Mia Wasikowska, Michael Fassbender, Judi Dench, Jamie Bell, Amelia Clarkson, Sally Hawkins, Holliday Grainger, Tamzin Merchant"
Red Riding Hood,2.0,100.0,2011,"Violence, Sexual Content",FANTASY/HORROR,Catherine Hardwicke,"Amanda Seyfried, Gary Oldman, Billy Burke, Shiloh Fernandez, Max Irons, Virginia Madsen, Lukas Haas, Julie Christie"
Battle Los Angeles,2.5,116.0,2011,"Violence, Profanity",SCIENCE FICTION/ACTION,Jonathan Liebesman,"Aaron Eckhart, Ramon Rodriguez, Ne-You, Bridget Moynahan, Michael Pena, Michelle Rodriguez"
Rango,3.5,107.0,2011,,ANIMATED,Gore Verbinski,"(voices) Johnny Depp, Timothy Olyphant, Harry Dean Stanton, Stephen Root, Bill Nighy, Alfred Molina, Ned Beatty, Abigail Breslin, Isla Fisher, Ray Winstone"
Cruella,2.5,134.0,2021,"Violence, Adult Themes",Adventure/Comedy,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, John McCrea, Emily Beecham, Mark Strong, Kayvan Novak, Kirby Howell-Baptiste"
"Quiet Place Part II, A",3.0,97.0,2021,"Violence, Gore",Horror/Thriller,John Krasinski,"Emily Blunt, Millicent Simmonds, Noah Jupe, Cillian Murphy, Djimon Hounsou, Scoot McNairy, John Krasinski, Dean Woodward"
Final Account,3.0,90.0,2021,Adult Themes,Documentary,Luke Holland,"Karl Hollander, Otto-Ernst Duscheleit, Hans Werk, Marianne Chantelau, Klaus Kleinau, Heinrich Schulze, Herbert Fuchs, Karl-Heinz Rinne, Margarete Schwartz, Franz Spalek, Herman Knoth, Friedrich Eder"
Army of the Dead,2.5,148.0,2021,"Violence, Gore, Profanity, Nudity",Horror/Thriller,Zack Snyder,"Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick, Matthias Schweighofer, Tig Notaro, Raul Castillo, Samantha Win, Theo Rossi, Garret Dillahunt, Nora Arnezeder, Hiroyuki Sanada"
"Woman in the Window, The",2.5,100.0,2021,"Violence, Profanity",Thriller,Joe Wright,"Amy Adams, Gary Oldman, Julianne Moore, Jennifer Jason Leigh, Fred Hechinger, Wyatt Russell, Bryan Tyree Henry, Jeanine Serralles, Anthony Mackie, Mariah Bozeman"
Spiral,1.5,93.0,2021,"Violence, Gore, Profanity",Horror/Thriller,Darren Lynn Bousman,"Chris Rock, Samuel L. Jackson, Max Minghella, Marisol Nichols"
Those Who Wish Me Dead,2.5,100.0,2021,"Violence, Profanity",Thriller,Taylor Sheridan,"Angelina Jolie, Finn Little, Aidan Gillen, Nicholas Hoult, Jon Bernthal, Medina Senghore, Jake Weber"
Profile,3.0,105.0,2021,"Profanity, Violence",Thriller,Timur Bekmambetov,"Valene Kane, Shazad Latif, Christine Adams, Amir Rahimzadeh, Morgan Watkins, Emma Cater"
Oxygen,2.5,100.0,2021,"Profanity, Mature Themes",Science Fiction/Thriller,Alexandre Aja,"Melanie Laurent, Mathieu Amalric"
Wrath of Man,2.0,118.0,2021,"Violence, Profanity",Thriller,Guy Ritchie,"Jason Statham, Holt McCallany, Rocci Williams, Josh Hartnett, Jeffrey Donovan, Scott Eastwood, Andy Garcia, Eddie Marsan, Niamh Algar"
Raging Bull,4.0,129.0,,"Violence, Profanity",DRAMA,Martin Scorsese,"Robert De Niro, Joe Pesci, Frank Vincent, Cathy Moriarty, Nicholas Colasanto"
"Kingdom, The",3.0,110.0,2007,"Violence, Profanity",THRILLER,Peter Berg,"Jamie Foxx, Jennifer Garner, Jason Bateman, Chris Cooper, Richard Jenkins, Jeremy Piven, Ashraf Barhom"
"Fantastic Four, The",2.5,110.0,2005,"Violence, Profanity, Sexual Situations",ACTION/ADVENTURE,Tim Story,"Ioan Gruffudd, Michael Chiklis, Jessica Alba, Chris Evans, Julian McMahon, Kerry Washington"
Volver,3.0,120.0,2006,"Profanity, Sexual Situations, Violence, Nudity",DRAMA,Pedro Almodovar,"Penelope Cruz, Carmen Maura, Lola Duenas, Blanca Portillo, Yohana Cobo"
Eternal,2.0,107.0,2005,"Violence, Profanity, Sexual Situations, Nudity",HORROR,"Wilhelm Liebenberg, Federico Sanchez","Caroline Néron, Conrad Pla, Victoria Sanchez, Ilona Elkin, Liane Balaban"
Mad Love,2.0,99.0,1995,"Profanity, Sexual Content",DRAMA,Antonia Bird,"Chris O'Donnell, Drew Barrymore, Kevin Dunn, Joan Allen, Jude Ciccolella"
Taxi Driver,4.0,113.0,,"Violence, Profanity",DRAMA,Martin Scorsese,"Robert De Niro, Jodie Foster, Albert Brooks, Harvey Keitel, Leonard Harris, Cybill Shepherd"
La Vie en Rose,3.0,140.0,2007,"Drugs, Sexual Situations, Nudity, Violence",DRAMA,Olivier Dahan,"Marion Cotillard, Sylvie Testud, Jean-Pierre Martins, Emmanuelle Seigner, Jean-Paul Rouve, Gérard Depardieu"
Hostel,2.0,95.0,2006,"Violence, Profanity, Nudity, Sexual Situations, Drugs",HORROR ,Eli Roth,"Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljakova, Jana Kaderabkova, Jan Vlasák, Jennifer Lim"
Water,3.0,114.0,2006,"Profanity, Mature Themes",DRAMA,Deepa Mehta,"Lisa Ray, Seema Biswas, Sarala, John Abraham, Manorama, Raghubir Yadav, Vidula Javalgekar"
"Hand of God, The",3.0,130.0,2021,"Sexual Content, Nudity, Profanity, Drugs",Drama,Paolo Sorrentino,"Filippo Scotti, Toni Servillo, Teresa Saponangelo, Marlon Joubert, Luisa Ranieri, Renato Carpentieri, Massimiliano Gallo, Betty Pedrazzi"
West Side Story,3.5,156.0,2021,"Violence, Profanity",Musical,Steven Spielberg,"Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez, Mike Faist, Rita Moreno, Brian d’Arcy James, Corey Stoll, Josh Andres Rivera, Iris Menas"
National Champions,2.5,116.0,2021,"Profanity, Sexual Content",Drama,Ric Roman Waugh,"Stephan James, J.K. Simmons, Alexander Ludwig, Lil Rel Howery, Tim Blake Nelson, Andrew Bachelor, Jeffrey Donovan, David Koechner, Kristin Chenoweth, Timothy Olyphant, Uzo Aduba"
Being the Ricardos,3.0,131.0,2021,Profanity,Drama,Aaron Sorkin,"Nicole Kidman, Javier Bardem, Nina Arianda, J.K. Simmons, Alia Shawkat, Jake Lacy, Tony Hale"
Benedetta,3.0,132.0,2022,"Sexual Content, Disturbing Images, Nudity",Thriller,Paul Verhoeven,"Virginie Efira, Charlotte Rampling, Daphne Patakia, Lambert Wilson, Olivier Rabourdin, Louise Chevillotte"
"Power of the Dog, The",3.0,126.0,2021,"Sexual Content, Disturbing Images, Nudity",Western/Drama,Jane Campion,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee"
Wolf,2.0,98.0,2021,"Profanity, Violence, Sexual Content, Nudity",Drama,Nathalie Biancheri,"George MacKay, Lily-Rose Depp, Paddy Considine, Eileen Walsh"
Superman III,1.5,123.0,1983,,Adventure/Comedy,Richard Lester,"Christopher Reeve, Richard Pryor, Robert Vaughn, Annette O’Toole, Jackie Cooper, Marc McClure, Annie Ross, Pamela Stephenson, Gavan O’Herlihy, Margot Kidder"
House of Gucci,2.5,157.0,2021,"Sexual Content, Profanity, Violence",Drama,Ridley Scott,
Encanto,3.5,96.0,2021,,Animated/Fantasy,"Jared Bush, Byron Howard","Stephanie Beatriz, Ravi Cabot-Conyers, Rhenzy Feliz, Wilmer Valderrama, Diane Guerrero, Carolina Gaitan, Angie Cepeda, Jessica Darrow, Mauro Castillo, John Leguizamo, Maria Cecilia Botero, Adassa"
"Swan, The",2.5,91.0,2018,"Animal Slaughter, Sexual Content, Brief Nudity",Drama,Asa Helga Hjorleifsdottir,"Grima Valsdottir, Thor Kristjansson, Puridur Blaer Johannsdottir, Ingvar Eggert Sigurdsson, Katla M. Porgeirsdottir"
Mile 22,3.0,95.0,2018,"Violence, Profanity",Action/Thriller,Peter Berg,"Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich, Ronda Rousey, Carlo Alban, Sam Medina"
What's Up Doc?,3.5,94.0,1972,,Comedy,Peter Bogdanovich,"Barbara Streisand, Mabel Albertson, Michael Murphy, John Hillerman, Liam Dunn, Austin Pendleton, Kenneth Mars, Madeline Kahn, Ryan O’Neal, Randy Quaid"
Crazy Rich Asians,2.5,120.0,2018,"Profanity, Sexual Content",Comedy/Romance,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan, Awkwafina, Ken Jeong, Sonoya Mizuno"
Never Goin' Back,2.0,86.0,2018,"Profanity, Sexual Content, Drugs",Drama/Comedy,Augustine Frizzell,"Maia Mitchell, Camila Morrone, Kyle Mooney, Joel Allen"
"Meg, The",2.0,113.0,2018,"Violence, Profanity, Disturbing Images",Science Fiction/Action,Jon Turteltaub,"Jason Statham, Page Kennedy, Robert Taylor, Jessica McNamee, Winston Chao, Ruby Rose, Cliff Curtis, Rainn Wilson, Li Bingbing, Olafur Darri Olafsson"
BlacKkKlansman,3.0,135.0,2018,"Profanity, Violence, Mature Themes",Thriller/Comedy,Spike Lee,": John David Washington, Adam Driver, Laura Harrier, Michael Buscemi, Robert John Burke, Topher Grace, Jasper Paakkonen, Ryan Eggold, Alec Baldwin"
"Spy Who Dumped Me, The",2.0,116.0,2018,"Violence, Profanity, Sexual Content, Nudity",Comedy/Thriller,Susanna Fogel,"Mila Kunis, Kate McKinnon, Justin Theroux, Sam Heughan, Hasan Minhaj, Gillian Anderson, Paul Reiser, Jane Curtin, Ivanna Sakhno"
"Darkest Minds, The",2.0,105.0,2018,"Violence, Profanity",Fantasy/Adventure,Jennifer Yuh Nelson,"Amandla Stenberg, Harris Dickinson, Skylan Brooks, Miya Cech, Mandy Moore, Gwendoline Christie, Patrick Gibson, Bradley Whitford"
Sin Reaper,0.5,92.0,2013,"Violence, Gore, Profanity, Bad Acting",Horror,Sebastian Bartolitius,"Helen Mutch, Lance Henriksen, Hazuki Kato, Patrick J. Thomas, Paulina Bachman, Adrian Rolf Tauss, Andrew James Porter, Nicolai Tegeler, Nico Sentner"
"Color of Money, The",3.0,118.0,1986,"Profanity, Nudity, Violence",DRAMA,Martin Scorsese,"Paul Newman, Tom Cruise, Mary Elizabeth Mastrantonio, Helen Shaver, John Turturro, Bill Cobbs"
"Sure Thing, The",3.0,100.0,1985,"Profanity, Sexual Situations, Nudity",ROMANCE/COMEDY,Rob Reiner,"John Cusack, Daphne Zuniga, Anthony Edwards, Nicollette Sheridan, Viveca Lindfors, Tim Robbins, Lisa Jane Persky"
"Hangover, The",3.0,100.0,2009,"Profanity, Sexual Situations, Nudity, Drugs",COMEDY,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Heather Graham, Sasha Barrese"
My Life in Ruins,2.0,98.0,2009,"Profanity, Sexual Situations",ROMANCE/COMEDY,Donald Petrie,"Nia Vardalos, Richard Dreyfuss, Alexis Georgoulis, Alistair McGowan, Harland Williams, Rachel Dratch, Caroline Goodall"
Land of the Lost,1.5,93.0,2009,"Profanity, Sexual Situations, Cartoon Violence",SCIENCE FICTION/COMEDY,Brad Silberling,"Will Ferrell, Anna Friel, Danny McBride, Jorma Taccone, John Boylan"
Away We Go,3.0,95.0,2009,"Profanity, Sexual Situations",DRAMA/COMEDY,Sam Mendes,"John Krasinski, Melanie Lynskey, Chris Messina, Josh Hamilton, Maggie Gyllenhaal, Carmen Ejogo, Jim Gaffigan, Allison Janney, Catherine O'Hara, Jeff Daniels, Maya Rudolph, Paul Schneider"
Kiss of the Spider Woman,3.0,120.0,1985,"Violence, Profanity, Mature Themes",DRAMA/THRILLER,Hector Babenco,"William Hurt, Raul Julia, Sonia Braga"
Out of Africa,3.0,160.0,1985,"Sexual Situations, Mature Themes",DRAMA,Sydney Pollack,"Meryl Streep, Robert Redford, Klaus Maria Brandauer, Michael Kitchen"
Drag Me to Hell,2.0,99.0,2009,"Violence, Profanity",HORROR,Sam Raimi,"Alison Lohman, Justin Long, Lorna Raver, Dileep Rao, David Paymer, Adriana Barazza"
Up,3.0,96.0,2009,,ANIMATED,"Pete Docter, Bob Peterson","(voices) Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft"
"War of the Roses, The",3.5,116.0,1989,"Violence, Profanity, Sexual Situations",COMEDY,Danny DeVito,"Michael Douglas, Kathleen Turner, Danny DeVito"
Halloween II,0.5,101.0,2009,"Violence, Profanity, Sexual Situations, Nudity",HORROR,Rob Zombie,"Scout Taylor-Compton, Tyler Mane, Malcolm McDowell, Danielle Harris, Brad Dourif, Sheri Moon Zombie, Chase Wright Vanek, Bea Grant"
Big Fan,3.0,86.0,2009,"Profanity, Violence, Nudity",DRAMA/COMEDY,Robert D. Siegel,"Patton Oswalt, Kevin Corrigan, Michael Rapaport, Marcia Jean Kurtz, Gino Cafarelli, Matt Servito, Jonathan Hamm"
Taking Woodstock,2.5,120.0,2009,"Nudity, Profanity, Sexual Situations, Drugs",DRAMA,Ang Lee,"Demetri Martin, Paul Dano, Mamie Gummer, Jonathan Groff, Liev Schreiber, Eugene Levy, Emile Hirsch, Henry Goodman, Imelda Staunton, Kelli Garner"
